hour,date,month,value
7.0,3.0,1.0,11.1882
10.0,3.0,1.0,11.186400000000004
13.0,3.0,1.0,12.021
15.0,3.0,1.0,11.5744
16.0,3.0,1.0,11.1758
17.0,3.0,1.0,11.2986
16.0,8.0,1.0,11.574
6.0,9.0,1.0,11.1916
7.0,9.0,1.0,10.8866
16.0,9.0,1.0,10.8424
17.0,9.0,1.0,10.9512
7.0,10.0,1.0,11.6894
10.0,10.0,1.0,10.9568
16.0,10.0,1.0,11.4432
17.0,10.0,1.0,11.3156
16.0,22.0,1.0,12.04
17.0,22.0,1.0,11.267
13.0,23.0,1.0,12.3752
14.0,23.0,1.0,11.956600000000002
10.0,24.0,1.0,10.55
13.0,29.0,1.0,11.331
14.0,29.0,1.0,11.5722
6.0,30.0,1.0,11.0448
7.0,30.0,1.0,11.3136
10.0,30.0,1.0,10.6488
11.0,30.0,1.0,10.6506
16.0,30.0,1.0,11.3062
17.0,21.0,2.0,12.1074
8.0,24.0,5.0,13.2918
9.0,24.0,5.0,13.5268
11.0,24.0,5.0,13.7596
16.0,12.0,11.0,10.8272
17.0,12.0,11.0,10.3734
10.0,3.0,12.0,9.0412
11.0,3.0,12.0,8.823400000000001
16.0,1.0,1.0,8.690000000000001
10.0,2.0,1.0,10.856400000000002
11.0,2.0,1.0,10.9424
14.0,2.0,1.0,10.696
16.0,2.0,1.0,11.333
17.0,2.0,1.0,11.4304
18.0,2.0,1.0,11.3036
15.0,3.0,1.0,11.5744
16.0,3.0,1.0,11.1758
17.0,3.0,1.0,11.2986
18.0,3.0,1.0,11.1824
21.0,3.0,1.0,11.366
8.0,6.0,1.0,11.3958
9.0,6.0,1.0,11.2154
10.0,8.0,1.0,11.8122
11.0,8.0,1.0,12.0656
12.0,8.0,1.0,12.5108
13.0,8.0,1.0,12.6724
14.0,8.0,1.0,12.3854
15.0,8.0,1.0,12.0004
16.0,8.0,1.0,11.574
17.0,8.0,1.0,11.6378
18.0,8.0,1.0,11.963
11.0,10.0,1.0,10.9594
16.0,15.0,1.0,11.5828
16.0,16.0,1.0,11.0826
8.0,20.0,1.0,10.835
9.0,20.0,1.0,10.4344
6.0,22.0,1.0,11.067000000000002
17.0,23.0,1.0,11.09
8.0,27.0,1.0,11.7274
9.0,27.0,1.0,11.9902
7.0,29.0,1.0,11.6968
14.0,30.0,1.0,11.4896
16.0,30.0,1.0,11.3062
9.0,19.0,2.0,11.5714
10.0,19.0,2.0,11.3086
11.0,19.0,2.0,11.183
12.0,19.0,2.0,11.3998
15.0,19.0,2.0,11.7362
16.0,19.0,2.0,12.2608
17.0,19.0,2.0,12.5756
18.0,19.0,2.0,12.2654
5.0,20.0,2.0,10.7274
6.0,20.0,2.0,10.9622
7.0,20.0,2.0,11.705
14.0,20.0,2.0,11.1376
16.0,20.0,2.0,11.9428
17.0,20.0,2.0,11.3304
18.0,20.0,2.0,11.1912
16.0,12.0,3.0,12.166
17.0,12.0,3.0,11.7784
14.0,13.0,3.0,11.6846
16.0,13.0,3.0,12.2506
17.0,13.0,3.0,12.0642
18.0,13.0,3.0,12.4188
17.0,14.0,3.0,12.4648
17.0,18.0,3.0,12.2856
9.0,23.0,6.0,12.2544
17.0,9.0,8.0,10.1996
