,hour,date,month,value
0,7.0,3.0,1.0,1.72
1,8.0,3.0,1.0,1.2000000000000002
2,9.0,3.0,1.0,5.460000000000001
3,10.0,3.0,1.0,16.96
4,11.0,3.0,1.0,19.26
5,12.0,3.0,1.0,18.28
6,13.0,3.0,1.0,17.580000000000002
7,15.0,3.0,1.0,16.98
8,16.0,3.0,1.0,13.28
9,6.0,30.0,1.0,18.4
10,7.0,30.0,1.0,17.040000000000003
11,8.0,30.0,1.0,7.800000000000001
12,12.0,21.0,2.0,1.6
13,17.0,21.0,2.0,19.880000000000003
14,10.0,24.0,5.0,14.92
15,11.0,24.0,5.0,14.86
16,12.0,24.0,5.0,15.72
0,15.0,2.0,1.0,1.06
1,16.0,2.0,1.0,0.8
2,11.0,3.0,1.0,19.26
3,14.0,3.0,1.0,17.16
4,15.0,3.0,1.0,16.98
5,16.0,3.0,1.0,13.28
6,20.0,3.0,1.0,1.14
7,21.0,3.0,1.0,1.14
8,5.0,6.0,1.0,0.34
9,6.0,6.0,1.0,0.3
10,7.0,6.0,1.0,0.54
11,8.0,6.0,1.0,0.6000000000000001
12,9.0,6.0,1.0,0.68
13,10.0,6.0,1.0,0.7200000000000001
14,11.0,6.0,1.0,0.66
15,6.0,20.0,1.0,20.26
16,7.0,20.0,1.0,20.1
17,8.0,20.0,1.0,20.180000000000003
18,9.0,20.0,1.0,21.040000000000003
19,10.0,20.0,1.0,20.1
20,21.0,21.0,1.0,0.36
21,22.0,21.0,1.0,1.04
22,23.0,21.0,1.0,1.1
23,0.0,22.0,1.0,0.38
24,1.0,22.0,1.0,0.6000000000000001
25,2.0,22.0,1.0,0.52
26,3.0,22.0,1.0,0.66
27,22.0,22.0,1.0,0.42
28,23.0,22.0,1.0,0.48
29,0.0,27.0,1.0,0.82
30,1.0,27.0,1.0,0.54
31,4.0,27.0,1.0,20.200000000000003
32,5.0,27.0,1.0,20.32
33,6.0,27.0,1.0,19.94
34,7.0,27.0,1.0,20.64
35,8.0,27.0,1.0,21.64
36,9.0,27.0,1.0,21.340000000000003
37,10.0,27.0,1.0,20.8
38,18.0,27.0,1.0,20.72
39,19.0,27.0,1.0,19.3
40,20.0,27.0,1.0,19.06
41,21.0,27.0,1.0,19.540000000000003
42,22.0,27.0,1.0,19.64
43,23.0,27.0,1.0,17.72
44,0.0,28.0,1.0,0.82
45,1.0,28.0,1.0,0.6200000000000001
46,2.0,28.0,1.0,1.0
47,3.0,28.0,1.0,0.7000000000000001
48,4.0,28.0,1.0,0.4
49,7.0,29.0,1.0,0.9
50,7.0,20.0,2.0,3.18
51,6.0,23.0,6.0,16.14
52,9.0,23.0,6.0,16.7
53,10.0,23.0,6.0,17.14
54,11.0,23.0,6.0,16.680000000000003
55,12.0,23.0,6.0,16.8
56,13.0,23.0,6.0,15.78
57,11.0,31.0,8.0,15.44
