Hour_x,Decision,Price,NewValue
2024-12-31 23:00:00,Balancing Up,51.400948,3.6
2024-12-31 22:00:00,Balancing Up,51.400948,1.2
2024-12-31 21:00:00,Balancing Up,51.400948,0.8
2024-12-31 20:00:00,Balancing Up,51.400948,1.6
2024-12-31 12:00:00,Balancing Up,51.762527,1.6
2024-12-31 02:00:00,Balancing Up,45.289307,3.6
2024-12-30 22:00:00,Balancing Up,42.172512,3.2
2024-12-30 02:00:00,Balancing Up,48.440113,104.8
2024-12-30 01:00:00,Balancing Up,48.440113,112.4
2024-12-30 00:00:00,Balancing Up,48.440113,112.8
2024-12-29 08:00:00,Balancing Up,41.5652,182.0
2024-12-23 03:00:00,Balancing Up,53.76031,10.0
2024-12-23 02:00:00,Balancing Up,53.76031,214.0
2024-12-23 01:00:00,Balancing Up,53.76031,314.4
2024-12-23 00:00:00,Balancing Up,53.76031,357.2
2024-12-22 23:00:00,Balancing Up,45.334957,356.4
2024-12-22 22:00:00,Balancing Up,44.431164,352.8
2024-12-22 21:00:00,Balancing Up,47.484222,336.8
2024-12-22 04:00:00,Balancing Up,50.713028,66.4
2024-12-22 03:00:00,Balancing Up,50.713028,10.8
2024-12-22 02:00:00,Balancing Up,50.713028,3.2
2024-12-22 01:00:00,Balancing Up,48.06657,0.4
2024-12-21 12:00:00,Balancing Up,50.0368,56.8
2024-12-21 11:00:00,Balancing Up,50.0368,43.2
2024-12-21 08:00:00,Balancing Up,50.0368,38.4
2024-12-21 06:00:00,Balancing Up,50.0368,36.8
2024-12-21 05:00:00,Balancing Up,50.0368,43.2
2024-12-21 04:00:00,Balancing Up,50.0368,24.8
2024-12-21 03:00:00,Balancing Up,50.0368,73.2
2024-12-21 02:00:00,Balancing Up,44.431164,306.4
2024-12-21 01:00:00,Balancing Up,44.867725,127.6
2024-12-21 00:00:00,Balancing Up,44.867725,47.2
2024-12-20 23:00:00,Balancing Up,41.38686,43.6
2024-12-20 22:00:00,Balancing Down,34.685333,44.8
2024-12-20 14:00:00,Balancing Up,45.334957,42.4
2024-12-20 13:00:00,Balancing Up,46.129276,147.2
2024-12-20 11:00:00,Balancing Up,44.568798,0.8
2024-12-19 03:00:00,Balancing Up,48.15238,2.4
2024-12-19 02:00:00,Balancing Up,50.472656,2.4
2024-12-19 01:00:00,Balancing Up,43.777626,2.4
2024-12-19 00:00:00,Balancing Down,34.685333,2.8
2024-12-18 23:00:00,Balancing Down,22.955057,5.6
2024-12-18 22:00:00,Balancing Up,44.431164,2.0
2024-12-18 21:00:00,Balancing Up,37.15969,5.2
2024-12-18 01:00:00,Balancing Up,50.80502,0.0
2024-12-18 00:00:00,Balancing Up,50.80502,1.6
2024-12-17 23:00:00,Balancing Up,52.025997,3.2
2024-12-17 03:00:00,Balancing Up,51.83979,7.6
2024-12-17 02:00:00,Balancing Up,47.514954,7.2
2024-12-17 01:00:00,Balancing Up,50.0368,81.6
2024-12-17 00:00:00,Balancing Up,45.74243,289.2
2024-12-16 23:00:00,Balancing Up,46.088707,8.0
2024-12-16 22:00:00,Balancing Up,43.923843,10.4
2024-12-16 21:00:00,Balancing Down,23.662493,36.8
2024-12-15 04:00:00,Balancing Up,52.983505,14.8
2024-12-15 03:00:00,Balancing Up,52.983505,9.6
2024-12-15 02:00:00,Balancing Up,46.601875,256.0
2024-12-15 01:00:00,Balancing Up,48.148518,7.2
2024-12-15 00:00:00,Balancing Up,54.175262,24.8
2024-12-14 23:00:00,Balancing Up,45.254295,36.0
2024-12-14 22:00:00,Balancing Up,30.98047,211.6
2024-12-14 21:00:00,Balancing Up,46.718063,84.8
2024-12-14 20:00:00,Balancing Up,43.54361,4.8
2024-12-14 14:00:00,Balancing Up,46.688274,36.4
2024-12-14 13:00:00,Balancing Up,47.801407,200.8
2024-12-14 12:00:00,Balancing Up,55.13277,320.0
2024-12-14 11:00:00,Balancing Up,52.983505,42.0
2024-12-14 10:00:00,Balancing Up,55.13277,1.6
2024-12-14 09:00:00,Balancing Up,55.307644,43.6
2024-11-28 03:00:00,Balancing Up,43.498318,3.6
2024-11-25 02:00:00,Balancing Up,51.48467,97.2
2024-11-25 01:00:00,Balancing Down,45.255554,100.0
2024-11-25 00:00:00,Balancing Down,23.662678,112.0
2024-11-24 23:00:00,Balancing Down,23.790455,109.6
2024-11-24 05:00:00,Balancing Up,44.686195,52.0
2024-11-24 04:00:00,Balancing Up,44.568798,17.6
2024-11-24 03:00:00,Balancing Up,44.818493,35.2
2024-11-24 02:00:00,Balancing Up,39.20088,42.0
2024-11-24 01:00:00,Balancing Up,39.20088,70.4
2024-11-24 00:00:00,Balancing Up,33.370514,79.2
2024-11-23 23:00:00,Balancing Up,30.432215,125.2
2024-11-17 04:00:00,Balancing Up,39.01227,7.6
2024-11-17 03:00:00,Balancing Up,44.45261,54.8
2024-11-17 02:00:00,Balancing Up,44.686195,2.0
2024-11-17 00:00:00,Balancing Down,19.00286,34.0
2024-11-16 23:00:00,Balancing Up,19.26704,37.6
2024-11-16 05:00:00,Balancing Down,19.66098,319.2
2024-11-16 04:00:00,Balancing Up,21.212545,106.0
2024-11-16 03:00:00,Balancing Down,19.66098,96.0
2024-11-16 02:00:00,Balancing Down,19.66098,75.2
2024-11-16 01:00:00,Balancing Down,19.831917,67.6
2024-11-16 00:00:00,Balancing Down,19.66098,109.2
2024-11-08 22:00:00,Balancing Up,43.922203,344.0
2024-11-08 21:00:00,Balancing Up,43.922203,195.6
2024-11-08 20:00:00,Balancing Up,43.922203,12.0
2024-11-01 22:00:00,Balancing Up,44.074963,9.2
2024-11-01 21:00:00,Balancing Up,44.51597,9.6
2024-11-01 20:00:00,Balancing Up,44.51597,25.6
2024-11-01 19:00:00,Balancing Up,45.7947,33.6
2024-11-01 18:00:00,Balancing Up,46.530655,40.4
2024-11-01 15:00:00,Balancing Up,41.874603,14.4
2024-11-01 14:00:00,Balancing Up,43.416607,7.6
2024-11-01 13:00:00,Balancing Up,39.971638,23.2
2024-11-01 12:00:00,Balancing Up,41.22205,26.8
2024-10-20 22:00:00,Balancing Down,26.975008,0.0
2024-10-20 03:00:00,Balancing Up,47.484222,336.4
2024-10-13 13:00:00,Balancing Up,46.93797,30.8
2024-10-11 02:00:00,Balancing Up,44.493717,0.4
2024-10-11 01:00:00,Balancing Up,46.377895,2.8
2024-10-11 00:00:00,Balancing Up,44.493717,4.0
2024-10-10 00:00:00,Balancing Up,45.337948,4.8
2024-10-07 02:00:00,Balancing Up,48.46955,172.8
2024-10-07 01:00:00,Balancing Up,54.124027,312.4
2024-10-07 00:00:00,Balancing Up,35.326206,270.0
2024-10-06 13:00:00,Balancing Up,46.93797,37.6
2024-10-06 12:00:00,Balancing Up,44.788704,15.6
2024-10-06 11:00:00,Balancing Up,44.788704,17.6
2024-10-06 10:00:00,Balancing Down,33.74355,12.8
2024-09-28 02:00:00,Balancing Up,46.688274,328.4
2024-09-28 01:00:00,Balancing Up,44.686195,323.6
2024-09-28 00:00:00,Balancing Up,38.90589,314.8
2024-09-27 23:00:00,Balancing Up,43.750607,317.2
2024-09-27 22:00:00,Balancing Up,21.487152,317.2
2024-08-26 07:00:00,Balancing Up,45.64194,100.8
2024-08-23 20:00:00,Balancing Up,43.734886,7.8
2024-08-12 12:00:00,Balancing Up,20.983732,60.8
2024-08-09 13:00:00,Balancing Up,44.5949,185.4
2024-08-09 01:00:00,Balancing Up,44.5949,8.6
2024-08-09 00:00:00,Balancing Up,44.5949,8.2
2024-08-06 13:00:00,Balancing Up,40.479576,6.4
2024-08-06 11:00:00,Balancing Up,42.857376,6.4
2024-07-31 11:00:00,Balancing Up,45.64194,143.4
2024-07-31 10:00:00,Balancing Up,45.64194,146.8
2024-07-31 09:00:00,Balancing Up,45.64194,144.4
